Content Name,Channel URL
Erico Rocha,https://www.youtube.com/channel/UCWnPYXKHjlV3tvQM7iKgGaA
Canal Moreze,https://www.youtube.com/channel/UC8KctpFNZvD9HZWO4L79crQ
ANCAPSU,https://www.youtube.com/channel/UCLTWPE7XrHEe8m_xAmNbQ-Q
TheMFW,https://www.youtube.com/channel/UCbIa2wKzCfoTCF0qaNFEq-Q
Ninja do Excel,https://www.youtube.com/channel/UChTLNqbdIMNny_vCqn6e-iA
Marinho Games,https://www.youtube.com/channel/UCRHOnDRW_fiqxZDbchDq8SQ
Festinha do Rodil,https://www.youtube.com/channel/UCbamPVITP0irOgH2CyAw_yQ
CHARLES JOGOS,https://www.youtube.com/channel/UCRxlkQN7-ys_DSQpVMFrC-A
CriptoBR,https://www.youtube.com/channel/UCD9A8nZLAtZiM_1ZgLkn-kg
agathedavray,https://www.youtube.com/channel/UCIGC1YRJneS0eU4T3C5UiDA
Crypto Minuto,https://www.youtube.com/channel/UCIUeus6e0aacfauLUrNG1dw
Pânico Retrô,https://www.youtube.com/channel/UC2IEgRZcIuemAPJqXa2nHvQ
rbiana,https://www.youtube.com/channel/UCDfRoZgAMaGCnUyl5n2yECw
Trabalho Virtual,https://www.youtube.com/channel/UCNOa-cO16ghIbnFnReO5zEQ
Via Infinda,https://www.youtube.com/channel/UCkIEY6rUSPy4qQjLqBBLUSg
PC do FAFA,https://www.youtube.com/channel/UCI1FHmMbh27WuxHjGXyn2ww
Area Bitcoin,https://www.youtube.com/channel/UC7PL5GpOZFTjDAl9BSas0eA
Investidor Sardinha l Raul Sena,https://www.youtube.com/channel/UCM3vJxmuJJkk1r0yzFI9eZg
TecnoArt,https://www.youtube.com/channel/UCHUhlZy-CbS0-YvPQ5yBRIQ
Pablo Marçal,https://www.youtube.com/channel/UCbroBIg8zvIH8-F4631wJhA
Juliano Caju,https://www.youtube.com/channel/UC6m6J4QX0T3COcimWlsoxDw
Gabriel de Pinho,https://www.youtube.com/channel/UCBqoA_hedJJaOBhsVLy1GAg
MinhArte,https://www.youtube.com/channel/UCYxIRI2_VfmgpZ-JHEHDjug
Zatch NFT,https://www.youtube.com/channel/UCSa0G_Z3OANJ3r-pCiRqglg
CBLOL,https://www.youtube.com/channel/UC48rkTlXjRd6pnqqBkdV0Mw
oiluiz TV,https://www.youtube.com/channel/UCTnAz569lU_nwpSmY4daZvg
Engenheiro Cripto,https://www.youtube.com/channel/UCqN3Vco640zFPgKbgTg_LGA
Primo Pobre,https://www.youtube.com/channel/UCOjXqrOxAdXa04obIQREfCA
Canal Nostalgia,https://www.youtube.com/channel/UCH2VZQBLFTOp6I_qgnBJCuQ
Canal do Schwarza,https://www.youtube.com/channel/UCWq1xltHB2fDe6YkYoOrryg
Crypto News,https://www.youtube.com/channel/UCxGhz0Pca11GBuPo13VpDbA
MrBeast Gaming,https://www.youtube.com/channel/UCIPPMRA040LQr5QPyJEbmXA
Modder Clips [OFICIAL],https://www.youtube.com/channel/UC7hvsI7ZjjwbFs2TUDpCUDA
Crypto & Crypto,https://www.youtube.com/channel/UCLSwAbQyvNVHGNYK1hvjRBw
Castro Brothers,https://www.youtube.com/channel/UC-PjJT0RVURj_L6D8D3WIww
LEO STRONDA,https://www.youtube.com/channel/UC6gJAnIhDn2Fy_jZfICmgSA
Flow News,https://www.youtube.com/channel/UCYpE7GffL46a9WT5b-Rekpg
THE BEST CRYPTO OS MELHORES FAUCET APP MINERADORAS,https://www.youtube.com/channel/UCAaYuUYTuInPrBLWPV_187w
História Cabeluda,https://www.youtube.com/channel/UCqbz_4hrf2D58UFBOleuFnQ
D BEN SHOW,https://www.youtube.com/channel/UCQlciW6Xy-2g4N0FnTJta8Q
Cortes Bianquinha,https://www.youtube.com/channel/UCfzWW5niiquP_bK9D64biSQ
Geek Antenado,https://www.youtube.com/channel/UCjTGBll7Sz8VCYiPPkIZpaw
Meme Coins Ductor Marcus,https://www.youtube.com/channel/UCA-cUVH5iyytWWJ2gW1l3Kg
INDIAO,https://www.youtube.com/channel/UCM5UGjIQkgP3pRqzq92oKdQ
Academia Alta Renda,https://www.youtube.com/channel/UCjoLKKwIrc3hf-9QUdswuQw
Eu sou seu PAI,https://www.youtube.com/channel/UC34tIx4iPC5-BJBsBfAvT1Q
CORTES - Sandro Cabrales,https://www.youtube.com/channel/UCO50kpmk4I3Bzmx0IpoNYJQ
Aviões e Músicas,https://www.youtube.com/channel/UCLXl1V6n82Dyg1VhVgSL0nw
AniCaps - Recap de Animes,https://www.youtube.com/channel/UCJd_Aw8kAnal40WTkhpxKGg
bitcoin news criptomoedas,https://www.youtube.com/channel/UCw_kupPfhMVL_YlhoO_ozIQ
BATIMA Animes,https://www.youtube.com/channel/UCzRfDLYR5bROtnOP-wl2gvQ
